"path","chemical","ppm","device","datetime","split"
"NH4/OppoA83/round2/jrKpD_ngochanpham274@gmail.com_2025-08-25 15_28_01_An_OppoA83_0.8ppm_2_2_NH4+_10.8768734_106.6782057.jpg","NH4","0.8","OppoA83","2025-08-25 15:28:01","train"
"NH4/OppoA83/round2/jtIsF_ngochanpham274@gmail.com_2025-08-25 14_53_10_An_OppoA83_0.05ppm_2_3_NH4+_10.8768775_106.6781994.jpg","NH4","0.05","OppoA83","2025-08-25 14:53:10","train"
"NH4/OppoA83/round2/LxcTt_ngochanpham274@gmail.com_2025-08-25 15_25_48_An_OppoA83_0.6ppm_2_4_NH4+_10.8768734_106.6782057.jpg","NH4","0.6","OppoA83","2025-08-25 15:25:48","train"
"NH4/OppoA83/round2/mBKDu_ngochanpham274@gmail.com_2025-08-25 15_27_26_An_OppoA83_0.8ppm_2_1_NH4+_10.8768734_106.6782057.jpg","NH4","0.8","OppoA83","2025-08-25 15:27:26","train"
"NH4/OppoA83/round2/MnPqD_ngochanpham274@gmail.com_2025-08-25 15_01_08_An_OppoA83_0.08ppm_2_3_NH4+_10.8768775_106.6781994.jpg","NH4","0.08","OppoA83","2025-08-25 15:01:08","train"
"NH4/OppoA83/round2/N7mtJ_ngochanpham274@gmail.com_2025-08-25 14_41_49_An_OppoA83_0.02ppm_2_3_NH4+_10.8768738_106.6781935.jpg","NH4","0.02","OppoA83","2025-08-25 14:41:49","train"
"NH4/OppoA83/round2/nLYaZ_ngochanpham274@gmail.com_2025-08-25 14_58_49_An_OppoA83_0.06ppm_2_5_NH4+_10.8768775_106.6781994.jpg","NH4","0.06","OppoA83","2025-08-25 14:58:49","train"
"NH4/OppoA83/round2/NmQwS_ngochanpham274@gmail.com_2025-08-25 15_42_47_An_OppoA83_4ppm_2_5_NH4+_10.8768696_106.6782041.jpg","NH4","4.0","OppoA83","2025-08-25 15:42:47","train"
"NH4/OppoA83/round2/NN3WA_ngochanpham274@gmail.com_2025-08-25 15_22_02_An_OppoA83_0.6ppm_2_1_NH4+_10.8768723_106.6781989.jpg","NH4","0.6","OppoA83","2025-08-25 15:22:02","train"
"NH4/OppoA83/round2/OngsQ_ngochanpham274@gmail.com_2025-08-25 15_28_38_An_OppoA83_0.8ppm_2_3_NH4+_10.8768734_106.6782057.jpg","NH4","0.8","OppoA83","2025-08-25 15:28:38","train"
"NH4/OppoA83/round2/OUZWR_ngochanpham274@gmail.com_2025-08-25 14_47_46_An_OppoA83_0.04ppm_2_3_NH4+_10.8768775_106.6781994.jpg","NH4","0.04","OppoA83","2025-08-25 14:47:46","train"
"NH4/OppoA83/round2/PfFWZ_ngochanpham274@gmail.com_2025-08-25 15_15_43_An_OppoA83_0.4ppm_2_3_NH4+_10.8768723_106.6781989.jpg","NH4","0.4","OppoA83","2025-08-25 15:15:43","train"
"NH4/OppoA83/round2/pFhsi_ngochanpham274@gmail.com_2025-08-25 15_22_32_An_OppoA83_0.6ppm_2_2_NH4+_10.8768723_106.6781989.jpg","NH4","0.6","OppoA83","2025-08-25 15:22:32","train"
"NH4/OppoA83/round2/pyZqr_ngochanpham274@gmail.com_2025-08-25 15_16_54_An_OppoA83_0.4ppm_2_5_NH4+_10.8768723_106.6781989.jpg","NH4","0.4","OppoA83","2025-08-25 15:16:54","train"
"NH4/OppoA83/round2/pzLrZ_ngochanpham274@gmail.com_2025-08-25 14_39_13_An_OppoA83_0.01ppm_2_5_NH4+_10.8768738_106.6781935.jpg","NH4","0.01","OppoA83","2025-08-25 14:39:13","train"
"NH4/OppoA83/round2/QXb0N_ngochanpham274@gmail.com_2025-08-25 15_02_14_An_OppoA83_0.08ppm_2_5_NH4+_10.8768775_106.6781994.jpg","NH4","0.08","OppoA83","2025-08-25 15:02:14","train"
"NH4/OppoA83/round2/r08yJ_ngochanpham274@gmail.com_2025-08-25 15_19_53_An_OppoA83_0.5ppm_2_4_NH4+_10.8768723_106.6781989.jpg","NH4","0.5","OppoA83","2025-08-25 15:19:53","train"
"NH4/OppoA83/round2/rcFmm_ngochanpham274@gmail.com_2025-08-25 15_29_06_An_OppoA83_0.8ppm_2_4_NH4+_10.8768734_106.6782057.jpg","NH4","0.8","OppoA83","2025-08-25 15:29:06","train"
"NH4/OppoA83/round2/rKVuf_ngochanpham274@gmail.com_2025-08-25 15_01_42_An_OppoA83_0.08ppm_2_4_NH4+_10.8768775_106.6781994.jpg","NH4","0.08","OppoA83","2025-08-25 15:01:42","train"
"NH4/OppoA83/round2/RpklQ_ngochanpham274@gmail.com_2025-08-25 14_42_29_An_OppoA83_0.02ppm_2_4_NH4+_10.8768738_106.6781935.jpg","NH4","0.02","OppoA83","2025-08-25 14:42:29","train"
"NH4/OppoA83/round2/RrBm8_ngochanpham274@gmail.com_2025-08-25 15_35_05_An_OppoA83_2ppm_2_3_NH4+_10.8768734_106.6782057.jpg","NH4","2.0","OppoA83","2025-08-25 15:35:05","train"
"NH4/OppoA83/round2/rrX4v_ngochanpham274@gmail.com_2025-08-25 14_49_14_An_OppoA83_0.04ppm_2_5_NH4+_10.8768775_106.6781994.jpg","NH4","0.04","OppoA83","2025-08-25 14:49:14","train"
"NH4/OppoA83/round2/savcF_ngochanpham274@gmail.com_2025-08-25 14_46_40_An_OppoA83_0.04ppm_2_1_NH4+_10.8768775_106.6781994.jpg","NH4","0.04","OppoA83","2025-08-25 14:46:40","train"
"NH4/OppoA83/round2/SC280_ngochanpham274@gmail.com_2025-08-25 15_32_03_An_OppoA83_1ppm_2_3_NH4+_10.8768734_106.6782057.jpg","NH4","1.0","OppoA83","2025-08-25 15:32:03","train"
"NH4/OppoA83/round2/ssP13_ngochanpham274@gmail.com_2025-08-25 15_08_28_An_OppoA83_0.1ppm_2_5_NH4+_10.8768723_106.6781989.jpg","NH4","0.1","OppoA83","2025-08-25 15:08:28","train"
"NH4/OppoA83/round2/ssU9d_ngochanpham274@gmail.com_2025-08-25 15_18_51_An_OppoA83_0.5ppm_2_2_NH4+_10.8768723_106.6781989.jpg","NH4","0.5","OppoA83","2025-08-25 15:18:51","train"
"NH4/OppoA83/round2/SZEJL_ngochanpham274@gmail.com_2025-08-25 14_37_56_An_OppoA83_0.01ppm_2_3_NH4+_10.8768738_106.6781935.jpg","NH4","0.01","OppoA83","2025-08-25 14:37:56","train"
"NH4/OppoA83/round2/SzS7z_ngochanpham274@gmail.com_2025-08-25 15_15_14_An_OppoA83_0.4ppm_2_2_NH4+_10.8768723_106.6781989.jpg","NH4","0.4","OppoA83","2025-08-25 15:15:14","train"
"NH4/OppoA83/round2/VCnxO_ngochanpham274@gmail.com_2025-08-25 14_57_48_An_OppoA83_0.06ppm_2_3_NH4+_10.8768775_106.6781994.jpg","NH4","0.06","OppoA83","2025-08-25 14:57:48","train"
"NH4/OppoA83/round2/X6pTW_ngochanpham274@gmail.com_2025-08-25 15_07_21_An_OppoA83_0.1ppm_2_3_NH4+_10.8768723_106.6781989.jpg","NH4","0.1","OppoA83","2025-08-25 15:07:21","train"
"NH4/OppoA83/round2/X9Ko8_ngochanpham274@gmail.com_2025-08-25 15_18_22_An_OppoA83_0.5ppm_2_1_NH4+_10.8768723_106.6781989.jpg","NH4","0.5","OppoA83","2025-08-25 15:18:22","train"
"NH4/OppoA83/round2/yVNdo_ngochanpham274@gmail.com_2025-08-25 14_53_58_An_OppoA83_0.05ppm_2_4_NH4+_10.8768775_106.6781994.jpg","NH4","0.05","OppoA83","2025-08-25 14:53:58","train"
"NH4/OppoA83/round2/ZdBKY_ngochanpham274@gmail.com_2025-08-25 15_25_14_An_OppoA83_0.6ppm_2_3_NH4+_10.8768734_106.6782057.jpg","NH4","0.6","OppoA83","2025-08-25 15:25:14","train"
"NH4/OppoA83/round2/zgK3V_ngochanpham274@gmail.com_2025-08-25 15_12_59_An_OppoA83_0.2ppm_2_5_NH4+_10.8768723_106.6781989.jpg","NH4","0.2","OppoA83","2025-08-25 15:12:59","train"
"NH4/OppoA83/round3/0Bnws_ngochanpham274@gmail.com_2025-08-25 16_45_28_An_OppoA83_0.6ppm_3_1_NH4+_10.8768672_106.6781977.jpg","NH4","0.6","OppoA83","2025-08-25 16:45:28","train"
"NH4/OppoA83/round3/1XNzn_ngochanpham274@gmail.com_2025-08-25 17_02_18_An_OppoA83_2ppm_3_1_NH4+_10.8768683_106.6782037.jpg","NH4","2.0","OppoA83","2025-08-25 17:02:18","train"
"NH4/OppoA83/round3/4dL13_ngochanpham274@gmail.com_2025-08-25 16_40_24_An_OppoA83_0.5ppm_3_1_NH4+_10.8768672_106.6781977.jpg","NH4","0.5","OppoA83","2025-08-25 16:40:24","train"
"NH4/OppoA83/round3/4N4CQ_ngochanpham274@gmail.com_2025-08-25 16_00_17_An_OppoA83_0.04ppm_3_4_NH4+_10.8768696_106.6782041.jpg","NH4","0.04","OppoA83","2025-08-25 16:00:17","train"
"NH4/OppoA83/round3/5GdO8_ngochanpham274@gmail.com_2025-08-25 16_11_36_An_OppoA83_0.05ppm_3_5_NH4+_10.8768779_106.6782013.jpg","NH4","0.05","OppoA83","2025-08-25 16:11:36","train"
"NH4/OppoA83/round3/67C3R_ngochanpham274@gmail.com_2025-08-25 17_07_15_An_OppoA83_4ppm_3_3_NH4+_10.8768683_106.6782037.jpg","NH4","4.0","OppoA83","2025-08-25 17:07:15","train"
"NH4/OppoA83/round3/74lrv_ngochanpham274@gmail.com_2025-08-25 16_06_43_An_OppoA83_0.05ppm_3_1_NH4+_10.8768696_106.6782041.jpg","NH4","0.05","OppoA83","2025-08-25 16:06:43","train"
"NH4/OppoA83/round3/9Z1MZ_ngochanpham274@gmail.com_2025-08-25 15_56_26_An_OppoA83_0.02ppm_3_4_NH4+_10.8768696_106.6782041.jpg","NH4","0.02","OppoA83","2025-08-25 15:56:26","train"
"NH4/OppoA83/round3/a8Vts_ngochanpham274@gmail.com_2025-08-25 17_00_05_An_OppoA83_1ppm_3_4_NH4+_10.8768683_106.6782037.jpg","NH4","1.0","OppoA83","2025-08-25 17:00:05","train"
"NH4/OppoA83/round3/ACCVz_ngochanpham274@gmail.com_2025-08-25 16_34_26_An_OppoA83_0.4ppm_3_1_NH4+_10.8768672_106.6781977.jpg","NH4","0.4","OppoA83","2025-08-25 16:34:26","train"
"NH4/OppoA83/round3/aEkp5_ngochanpham274@gmail.com_2025-08-25 16_20_29_An_OppoA83_0.08ppm_3_5_NH4+_10.8768779_106.6782013.jpg","NH4","0.08","OppoA83","2025-08-25 16:20:29","train"
"NH4/OppoA83/round3/apbR2_ngochanpham274@gmail.com_2025-08-25 16_58_51_An_OppoA83_1ppm_3_2_NH4+_10.8768683_106.6782037.jpg","NH4","1.0","OppoA83","2025-08-25 16:58:51","train"
"NH4/OppoA83/round3/Av7A8_ngochanpham274@gmail.com_2025-08-25 16_23_58_An_OppoA83_0.1ppm_3_3_NH4+_10.8768779_106.6782013.jpg","NH4","0.1","OppoA83","2025-08-25 16:23:58","train"
"NH4/OppoA83/round3/bF8ut_ngochanpham274@gmail.com_2025-08-25 16_57_55_An_OppoA83_1ppm_3_1_NH4+_10.8768683_106.6782037.jpg","NH4","1.0","OppoA83","2025-08-25 16:57:55","train"
"NH4/OppoA83/round3/bmVGw_ngochanpham274@gmail.com_2025-08-25 15_54_42_An_OppoA83_0.02ppm_3_2_NH4+_10.8768696_106.6782041.jpg","NH4","0.02","OppoA83","2025-08-25 15:54:42","train"
"NH4/OppoA83/round3/BoPMX_ngochanpham274@gmail.com_2025-08-25 17_05_44_An_OppoA83_4ppm_3_1_NH4+_10.8768683_106.6782037.jpg","NH4","4.0","OppoA83","2025-08-25 17:05:44","train"
"NH4/OppoA83/round3/CMncX_ngochanpham274@gmail.com_2025-08-25 15_49_13_An_OppoA83_0.01ppm_3_2_NH4+_10.8768696_106.6782041.jpg","NH4","0.01","OppoA83","2025-08-25 15:49:13","train"
"NH4/OppoA83/round3/cWzAQ_ngochanpham274@gmail.com_2025-08-25 16_59_25_An_OppoA83_1ppm_3_3_NH4+_10.8768683_106.6782037.jpg","NH4","1.0","OppoA83","2025-08-25 16:59:25","train"
"NH4/OppoA83/round3/D54dM_ngochanpham274@gmail.com_2025-08-25 16_24_29_An_OppoA83_0.1ppm_3_4_NH4+_10.8768779_106.6782013.jpg","NH4","0.1","OppoA83","2025-08-25 16:24:29","train"
"NH4/OppoA83/round3/DoII7_ngochanpham274@gmail.com_2025-08-25 16_36_22_An_OppoA83_0.4ppm_3_3_NH4+_10.8768672_106.6781977.jpg","NH4","0.4","OppoA83","2025-08-25 16:36:22","train"
"NH4/OppoA83/round3/Dx24w_ngochanpham274@gmail.com_2025-08-25 16_15_25_An_OppoA83_0.06ppm_3_3_NH4+_10.8768779_106.6782013.jpg","NH4","0.06","OppoA83","2025-08-25 16:15:25","train"
"NH4/OppoA83/round3/EAjtl_ngochanpham274@gmail.com_2025-08-25 16_41_42_An_OppoA83_0.5ppm_3_3_NH4+_10.8768672_106.6781977.jpg","NH4","0.5","OppoA83","2025-08-25 16:41:42","train"
"NH4/OppoA83/round3/Em4RI_ngochanpham274@gmail.com_2025-08-25 16_25_05_An_OppoA83_0.1ppm_3_5_NH4+_10.8768779_106.6782013.jpg","NH4","0.1","OppoA83","2025-08-25 16:25:05","train"
"NH4/OppoA83/round3/fn05w_ngochanpham274@gmail.com_2025-08-25 16_02_21_An_OppoA83_0.04ppm_3_5_NH4+_10.8768696_106.6782041.jpg","NH4","0.04","OppoA83","2025-08-25 16:02:21","train"
"NH4/OppoA83/round3/g3bm3_ngochanpham274@gmail.com_2025-08-25 15_59_42_An_OppoA83_0.04ppm_3_3_NH4+_10.8768696_106.6782041.jpg","NH4","0.04","OppoA83","2025-08-25 15:59:42","train"
"NH4/OppoA83/round3/gKDB9_ngochanpham274@gmail.com_2025-08-25 16_30_06_An_OppoA83_0.2ppm_3_3_NH4+_10.8768672_106.6781977.jpg","NH4","0.2","OppoA83","2025-08-25 16:30:06","train"
"NH4/OppoA83/round3/hD57V_ngochanpham274@gmail.com_2025-08-25 16_11_08_An_OppoA83_0.05ppm_3_4_NH4+_10.8768779_106.6782013.jpg","NH4","0.05","OppoA83","2025-08-25 16:11:08","train"
"NH4/OppoA83/round3/I8PXt_ngochanpham274@gmail.com_2025-08-25 16_20_01_An_OppoA83_0.08ppm_3_4_NH4+_10.8768779_106.6782013.jpg","NH4","0.08","OppoA83","2025-08-25 16:20:01","train"
"NH4/OppoA83/round3/Idrgc_ngochanpham274@gmail.com_2025-08-25 16_41_03_An_OppoA83_0.5ppm_3_2_NH4+_10.8768672_106.6781977.jpg","NH4","0.5","OppoA83","2025-08-25 16:41:03","train"
"NH4/OppoA83/round3/J9gjU_ngochanpham274@gmail.com_2025-08-25 16_22_05_An_OppoA83_0.1ppm_3_1_NH4+_10.8768779_106.6782013.jpg","NH4","0.1","OppoA83","2025-08-25 16:22:05","train"
"NH4/OppoA83/round3/jCYwy_ngochanpham274@gmail.com_2025-08-25 15_48_30_An_OppoA83_0.01ppm_3_1_NH4+_10.8768696_106.6782041.jpg","NH4","0.01","OppoA83","2025-08-25 15:48:30","train"
"NH4/OppoA83/round3/jLVWV_ngochanpham274@gmail.com_2025-08-25 16_37_41_An_OppoA83_0.4ppm_3_5_NH4+_10.8768672_106.6781977.jpg","NH4","0.4","OppoA83","2025-08-25 16:37:41","train"
"NH4/OppoA83/round3/jMUie_ngochanpham274@gmail.com_2025-08-25 15_52_45_An_OppoA83_0.01ppm_3_5_NH4+_10.8768696_106.6782041.jpg","NH4","0.01","OppoA83","2025-08-25 15:52:45","train"
"NH4/OppoA83/round3/kKiq0_ngochanpham274@gmail.com_2025-08-25 16_47_20_An_OppoA83_0.6ppm_3_4_NH4+_10.8768672_106.6781977.jpg","NH4","0.6","OppoA83","2025-08-25 16:47:20","train"
"NH4/OppoA83/round3/KkQfc_ngochanpham274@gmail.com_2025-08-25 16_09_58_An_OppoA83_0.05ppm_3_2_NH4+_10.8768779_106.6782013.jpg","NH4","0.05","OppoA83","2025-08-25 16:09:58","train"
"NH4/OppoA83/round3/KY9Xv_ngochanpham274@gmail.com_2025-08-25 16_42_54_An_OppoA83_0.5ppm_3_4_NH4+_10.8768672_106.6781977.jpg","NH4","0.5","OppoA83","2025-08-25 16:42:54","train"
"NH4/OppoA83/round3/mVhHM_ngochanpham274@gmail.com_2025-08-25 15_50_27_An_OppoA83_0.01ppm_3_4_NH4+_10.8768696_106.6782041.jpg","NH4","0.01","OppoA83","2025-08-25 15:50:27","train"
"NH4/OppoA83/round3/mzYcF_ngochanpham274@gmail.com_2025-08-25 15_59_14_An_OppoA83_0.04ppm_3_2_NH4+_10.8768696_106.6782041.jpg","NH4","0.04","OppoA83","2025-08-25 15:59:14","train"
"NH4/OppoA83/round3/NHpDO_ngochanpham274@gmail.com_2025-08-25 16_46_40_An_OppoA83_0.6ppm_3_3_NH4+_10.8768672_106.6781977.jpg","NH4","0.6","OppoA83","2025-08-25 16:46:40","train"
"NH4/OppoA83/round3/oeHbZ_ngochanpham274@gmail.com_2025-08-25 16_30_34_An_OppoA83_0.2ppm_3_4_NH4+_10.8768672_106.6781977.jpg","NH4","0.2","OppoA83","2025-08-25 16:30:34","train"
"NH4/OppoA83/round3/OrxAk_ngochanpham274@gmail.com_2025-08-25 17_03_57_An_OppoA83_2ppm_3_4_NH4+_10.8768683_106.6782037.jpg","NH4","2.0","OppoA83","2025-08-25 17:03:57","train"
"NH4/OppoA83/round3/OsBVx_ngochanpham274@gmail.com_2025-08-25 16_26_45_An_OppoA83_0.2ppm_3_1_NH4+_10.8768779_106.6782013.jpg","NH4","0.2","OppoA83","2025-08-25 16:26:45","train"
"NH4/OppoA83/round3/OU1FH_ngochanpham274@gmail.com_2025-08-25 17_04_38_An_OppoA83_2ppm_3_5_NH4+_10.8768683_106.6782037.jpg","NH4","2.0","OppoA83","2025-08-25 17:04:38","train"
"NH4/OppoA83/round3/P4GVb_ngochanpham274@gmail.com_2025-08-25 16_46_10_An_OppoA83_0.6ppm_3_2_NH4+_10.8768672_106.6781977.jpg","NH4","0.6","OppoA83","2025-08-25 16:46:10","train"
